Energy_eV,Absorption
4970.08777253,-0.225247116299887
4970.50295801,-0.22372695180637675
4971.08834837,-0.22310030931347014
4971.55877127,-0.2283054916538599
4972.14944005,-0.2312380075436739
4972.5449736,-0.2335070021447651
4973.09082279,-0.23254383624269612
4973.54663216,-0.22857673255303387
4974.08771134,-0.21859192561055985
4974.49861674,-0.20597142137338478
4975.08002438,-0.1790080670543693
4975.55127411,-0.15651681390568556
4976.14298115,-0.132248216824529
4976.53921003,-0.11961251579763463
4977.08601889,-0.10546551550113692
4977.54262971,-0.09652524830683579
4978.0746216,-0.0879802451951119
4978.4912681,-0.08200676426589822
4979.06867547,-0.07494965309146165
4979.55079728,-0.0707596473907427
4980.13852131,-0.062337264933159685
4980.54047124,-0.056596414377674036
4981.0832162,-0.04281359031558762
4981.54565653,-0.026768900522220446
4982.07858465,-0.002924668869387583
4982.49093533,0.022416662231939357
4983.06935778,0.0615191554196541
4983.54729579,0.09838103175790407
4984.12598647,0.1441920764657208
4984.53870783,0.18168645957980928
4985.06730163,0.2183475672229444
4985.53055125,0.24500328460053641
4986.05937508,0.2651094215726424
4986.48756041,0.2790895576913652
4987.05691953,0.2865829454723873
4987.53569427,0.28564911807902355
4988.12548129,0.2791408905845611
4988.53388471,0.26925731309557593
4989.06340537,0.2514485589600528
4989.53251202,0.23165945420545803
4990.04712698,0.20826566119835022
4990.4811082,0.18544892473702176
4991.05146478,0.16264061681259526
4991.53107838,0.1444152852604692
4992.10169735,0.12540153024280562
4992.52596669,0.11603228033420318
4993.05136177,0.10610328823255448
4993.52634208,0.0988098941634588
4994.0216395,0.09581873542081161
4994.48165469,0.09312240243686443
4995.03278383,0.09386281973971704
4995.51323417,0.09589904695067658
4996.07978959,0.10110790219249079
4996.53009895,0.10735609055083349
4997.04123166,0.11300796380997134
4997.52210436,0.12030257214771325
4997.99295139,0.1282372618808797
4998.48921771,0.1366611580418634
4999.01598547,0.14515562546509816
4999.50740707,0.1526783508796567
5000.05468112,0.15676741954620774
5000.53111881,0.15921153016647027
5001.02286597,0.15924297121731104
5001.52486123,0.15654620743042524
5001.98638835,0.15161021685572673
5002.49874172,0.14693305647479232
5002.98076292,0.13932623354905732
5003.51364128,0.12731340031726737
5004.03141331,0.11876088071215167
5004.54422452,0.1074308217912626
5005.00128176,0.09550025199250518
5005.51939023,0.08329942015634313
5005.971561,0.0716750860961256
5007.64892847,0.03213546841151748
5009.44965194,0.004337949694280378
5011.25688333,-0.012818155877980424
5013.08592683,-0.017811582270284048
5014.89092459,-0.013767488391855603
5016.86070439,-0.012263241174963503
5018.78618844,-0.020326772721685312
5020.83090762,-0.03300448207350376
5022.82114247,-0.04659554139699055
5024.91043836,-0.05695425218835386
5026.95035502,-0.06067762294211115
5029.09985983,-0.059503880072682355
5031.24109738,-0.05950628094215694
5033.51287999,-0.05326927582473427
5035.7869025,-0.04186509345417599
5038.05801565,-0.03052431992220325
5040.31589243,-0.025236226902113315
5042.69471958,-0.02961974885885594
5045.16385719,-0.0415371835810368
5047.49594411,-0.05255238534635703
5050.02718457,-0.05876997530540327
5052.46786958,-0.06478651926903199
5054.99936224,-0.07195329872816632
5057.62195594,-0.08084825878500303
5060.21110389,-0.09460174579579866
5062.83439034,-0.10569559715309274
5065.60663321,-0.11459102540704873
5068.31432378,-0.12214574494596844
5071.11924526,-0.1293666548517771
5074.02174367,-0.14395317199034008
5076.83879428,-0.15304511207666363
5079.73269516,-0.16027344872000876
5082.78251522,-0.17170454910958077
5085.78899104,-0.18107508752294427
5088.77301174,-0.19150325724307304
5091.90849446,-0.19650573622965697
5095.03762644,-0.20348735403164603
5098.13922411,-0.21347927871464067
5101.31376238,-0.22597245734552437
5104.58803862,-0.23643525275160782
5107.8615831,-0.24565323164695618
5111.14501627,-0.2533520840588575
5114.47031501,-0.26011996652235314
5117.84831087,-0.2652455912359762
5121.24184319,-0.2710921394908001
5124.68839995,-0.2790576680143199
5128.16678168,-0.2874150242512003
5131.68784442,-0.29741983447906256
5135.21953931,-0.3065959007191823
5138.80493746,-0.31587222346133026
5142.49814942,-0.32423866452520766
5146.06223094,-0.33411931863072325
5149.7776014,-0.3470057041871578
5153.4933924,-0.35705915645534025
5157.25838527,-0.36832865122709296
5161.11624262,-0.3807844880021731
5164.93142113,-0.3946613370081761
5168.81810449,-0.4078357729843078
5172.78208495,-0.4235977506888341
5176.62148724,-0.4353536980104276
5180.64227694,-0.45412858675162426
5184.63146132,-0.45355213172700154
5188.62731786,-0.46636594227174366
5192.77293474,-0.4778530429833083
5196.92023194,-0.48795224226946554
5201.03606704,-0.5008819217548464
5205.23088835,-0.5131924583083343
5208.99533103,-0.528435258086485
